Genes	NES	FDR_q_val	Size
Kegg Medicus Reference Promotion Of Microtubule Growth	1.84	0.157	21
Kegg Medicus Variant Mutation Caused Aberrant SNCA To Anterograde Axonal Transport	1.87	0.161	24
Kegg Medicus Variant Mutation Caused Aberrant ABETA To Anterograde Axonal Transport	1.81	0.172	23
Kegg Medicus Pathogen Salmonella SIFA To Microtubule Plus End Directed Transport	1.85	0.179	24
Kegg Medicus Reference Lesion Bypass By TLS and DSB Formation	1.77	0.224	15
Kegg Medicus Variant Mutation Caused Aberrant HTT To Anterograde Axonal Transport	1.88	0.233	25
